id1,id2
FOODON_03601037,FOODON_00002501
FOODON_00001258,FOODON_00002501
FOODON_00002849,FOODON_00002501
FOODON_00003850,FOODON_00002501
FOODON_00003285,FOODON_00002501
FOODON_00001867,FOODON_00002501
FOODON_00002450,FOODON_00002501
FOODON_00003288,FOODON_00002501
FOODON_03316579,FOODON_00002501
FOODON_00002847,1756
FOODON_03301348,1756
FOODON_03304301,1756
FOODON_03304559,1756
FOODON_03305010,1756
FOODON_03305100,1756
FOODON_03307566,1756
FOODON_03307571,1756
FOODON_03307598,1756
FOODON_03307711,1756
FOODON_03307717,1756
FOODON_03311346,1756
FOODON_03317363,1756
FOODON_00003444,1756
2443,1756
930,1756
1943,1756
922,1756
2450,1756
1601,1756
279,1756
FOODON_00002959,FOODON_00002960
FOODON_03306275,FOODON_00002960
FOODON_03306307,FOODON_00002960
FOODON_03309561,FOODON_00002960
FOODON_00003056,FOODON_00003435
FOODON_03302185,FOODON_00003435
FOODON_03303449,FOODON_00003435
FOODON_03303450,FOODON_00003435
FOODON_03307010,FOODON_00003435
FOODON_03311571,FOODON_00003435
FOODON_03601015,FOODON_00003435
FOODON_00003177,FOODON_00002129
FOODON_03310811,FOODON_00002129
FOODON_03310812,FOODON_00002129
FOODON_03310813,FOODON_00002129
FOODON_03316106,FOODON_00002129
FOODON_00002260,FOODON_00002129
FOODON_00003261,FOODON_00003262
FOODON_00003272,FOODON_00003288
FOODON_00003849,FOODON_00003288
FOODON_03301881,FOODON_00003288
FOODON_03303010,FOODON_00003288
FOODON_03303938,FOODON_00003288
FOODON_03304139,FOODON_00003288
FOODON_03304427,FOODON_00003288
FOODON_03304429,FOODON_00003288
FOODON_03304448,FOODON_00003288
FOODON_03304449,FOODON_00003288
FOODON_03304772,FOODON_00003288
FOODON_03304780,FOODON_00003288
FOODON_03305384,FOODON_00003288
FOODON_03306475,FOODON_00003288
FOODON_03307009,FOODON_00003288
FOODON_03307343,FOODON_00003288
FOODON_03307580,FOODON_00003288
FOODON_03308077,FOODON_00003288
FOODON_03309562,FOODON_00003288
FOODON_03315680,FOODON_00003288
FOODON_00003262,FOODON_00003288
FOODON_00003296,FOODON_00003288
FOODON_03305363,FOODON_00003288
FOODON_00003300,FOODON_00003296
FOODON_00003851,FOODON_00003850
FOODON_00003852,FOODON_00003850
FOODON_00003873,FOODON_00003855
FOODON_00003883,80
FOODON_00003883,1166
FOODON_00003883,1736
FOODON_00003883,221
FOODON_00003883,772
FOODON_00003883,2195
FOODON_00003883,1533
FOODON_00003947,FOODON_03315702
FOODON_00003948,FOODON_03315702
FOODON_00003949,FOODON_03315702
FOODON_00004140,FOODON_00004139
FOODON_00004141,FOODON_00004139
FOODON_00004321,FOODON_00001796
FOODON_03302964,FOODON_00001796
FOODON_03304004,FOODON_00001796
FOODON_03304022,FOODON_00001796
FOODON_03304343,FOODON_00001796
FOODON_03304437,FOODON_00001796
FOODON_03310211,FOODON_00001796
FOODON_03316276,FOODON_00001796
FOODON_03317543,FOODON_00001796
FOODON_03306648,FOODON_00001796
FOODON_00004526,FOODON_00003052
FOODON_00004527,FOODON_03304758
FOODON_03307747,FOODON_03304758
FOODON_00005512,FOODON_00002828
FOODON_03302094,FOODON_00002828
FOODON_03303003,FOODON_00002828
FOODON_03303006,FOODON_00002828
FOODON_03303018,FOODON_00002828
FOODON_03304693,FOODON_00002828
FOODON_03310187,FOODON_00002828
FOODON_03310772,FOODON_00002828
FOODON_03601047,FOODON_00002828
FOODON_00002829,FOODON_00002828
FOODON_00005514,FOODON_03307345
FOODON_03301073,FOODON_03307345
FOODON_00005554,FOODON_00003884
FOODON_00005587,FOODON_03303225
FOODON_03000286,FOODON_03301186
FOODON_03301013,FOODON_00001921
FOODON_03302428,FOODON_00001921
FOODON_03305481,FOODON_00001921
FOODON_03307307,FOODON_00001921
FOODON_03301028,FOODON_00002450
FOODON_03305530,FOODON_00002450
FOODON_03305534,FOODON_00002450
FOODON_03305536,FOODON_00002450
FOODON_03305537,FOODON_00002450
FOODON_03307181,FOODON_00002450
FOODON_03307182,FOODON_00002450
709,FOODON_00002450
FOODON_03301019,FOODON_00002450
93,FOODON_00002450
1613,FOODON_00002450
33,FOODON_00002450
FOODON_03301032,FOODON_00002330
FOODON_03301317,FOODON_00002330
FOODON_03302813,FOODON_00002330
FOODON_03305679,FOODON_00002330
FOODON_03307376,FOODON_00002330
FOODON_03309712,FOODON_00002330
FOODON_03310288,FOODON_00002330
FOODON_03310845,FOODON_00002330
FOODON_03311557,FOODON_00002330
FOODON_03317508,FOODON_00002330
FOODON_03301065,FOODON_00002157
FOODON_03302545,FOODON_00002157
FOODON_03302601,FOODON_00002157
FOODON_03302788,FOODON_00002157
FOODON_03303369,FOODON_00002157
FOODON_03304068,FOODON_00002157
FOODON_03304305,FOODON_00002157
FOODON_03304310,FOODON_00002157
FOODON_03304365,FOODON_00002157
FOODON_03304366,FOODON_00002157
FOODON_03304367,FOODON_00002157
FOODON_03304502,FOODON_00002157
FOODON_03304522,FOODON_00002157
FOODON_03304723,FOODON_00002157
FOODON_03305536,FOODON_00002157
FOODON_03305855,FOODON_00002157
FOODON_03306048,FOODON_00002157
FOODON_03306546,FOODON_00002157
FOODON_03307047,FOODON_00002157
FOODON_03307549,FOODON_00002157
FOODON_03307572,FOODON_00002157
FOODON_03307597,FOODON_00002157
FOODON_03307714,FOODON_00002157
FOODON_03307715,FOODON_00002157
FOODON_03307722,FOODON_00002157
FOODON_03307726,FOODON_00002157
FOODON_03307730,FOODON_00002157
FOODON_03310177,FOODON_00002157
FOODON_03310195,FOODON_00002157
FOODON_03310913,FOODON_00002157
FOODON_03310962,FOODON_00002157
FOODON_03315177,FOODON_00002157
FOODON_03315305,FOODON_00002157
FOODON_03315349,FOODON_00002157
FOODON_03315350,FOODON_00002157
FOODON_03316413,FOODON_00002157
FOODON_03316621,FOODON_00002157
FOODON_03316754,FOODON_00002157
FOODON_03317642,FOODON_00002157
FOODON_03317673,FOODON_00002157
FOODON_03302676,FOODON_00002157
FOODON_03303225,FOODON_00002157
FOODON_03304333,FOODON_00002157
FOODON_03311016,FOODON_00002157
FOODON_00001848,FOODON_00002157
FOODON_03316271,FOODON_00002157
FOODON_03301091,FOODON_00001854
FOODON_03302890,FOODON_00001854
FOODON_03305693,FOODON_00001854
FOODON_03308636,FOODON_00001854
FOODON_03308637,FOODON_00001854
FOODON_03308641,FOODON_00001854
FOODON_03308642,FOODON_00001854
FOODON_03310929,FOODON_00001854
FOODON_03315936,FOODON_00001854
FOODON_03301329,FOODON_00002134
FOODON_03302909,FOODON_00002134
FOODON_03316108,FOODON_00002134
FOODON_03316109,FOODON_00002134
FOODON_03316110,FOODON_00002134
FOODON_03316111,FOODON_00002134
FOODON_03317550,FOODON_00002134
FOODON_03301400,783
FOODON_00002313,783
652,783
307,783
25,783
28,783
FOODON_00001794,783
FOODON_03301765,FOODON_00001967
FOODON_03302155,FOODON_00001967
FOODON_03302274,FOODON_00001967
FOODON_03302545,FOODON_00001967
FOODON_03302570,FOODON_00001967
FOODON_03303092,FOODON_00001967
FOODON_03303647,FOODON_00001967
FOODON_03304509,FOODON_00001967
FOODON_03304601,FOODON_00001967
FOODON_03304607,FOODON_00001967
FOODON_03304741,FOODON_00001967
FOODON_03305015,FOODON_00001967
FOODON_03305881,FOODON_00001967
FOODON_03306308,FOODON_00001967
FOODON_03306433,FOODON_00001967
FOODON_03306916,FOODON_00001967
FOODON_03307289,FOODON_00001967
FOODON_03307309,FOODON_00001967
FOODON_03307555,FOODON_00001967
FOODON_03307688,FOODON_00001967
FOODON_03309493,FOODON_00001967
FOODON_03309501,FOODON_00001967
FOODON_03310570,FOODON_00001967
FOODON_03311464,FOODON_00001967
FOODON_03311714,FOODON_00001967
FOODON_03316264,FOODON_00001967
FOODON_03316268,FOODON_00001967
FOODON_03316359,FOODON_00001967
FOODON_03302676,FOODON_00001967
FOODON_03304706,FOODON_00001967
FOODON_03305366,FOODON_00001967
FOODON_03305684,FOODON_00001967
FOODON_03306952,FOODON_00001967
FOODON_03315170,FOODON_00001967
FOODON_00004139,FOODON_00001967
FOODON_00001971,FOODON_00001967
FOODON_03301878,FOODON_00001968
FOODON_03302154,FOODON_00001968
FOODON_03302226,FOODON_00001968
FOODON_03303620,FOODON_00001968
FOODON_03304517,FOODON_00001968
FOODON_03305770,FOODON_00001968
FOODON_03306017,FOODON_00001968
FOODON_03306021,FOODON_00001968
FOODON_03306157,FOODON_00001968
FOODON_03306187,FOODON_00001968
FOODON_03306192,FOODON_00001968
FOODON_03306671,FOODON_00001968
FOODON_03306718,FOODON_00001968
FOODON_03307356,FOODON_00001968
FOODON_03301879,FOODON_00003444
FOODON_03301962,FOODON_00002683
FOODON_03303882,FOODON_00002683
FOODON_03310847,FOODON_00002683
FOODON_03301977,FOODON_00002373
FOODON_03302187,FOODON_00002260
FOODON_03302996,FOODON_00002260
FOODON_03304803,FOODON_00002260
FOODON_03305199,FOODON_00002260
FOODON_03305692,FOODON_00002260
FOODON_03306435,FOODON_00002260
FOODON_03306436,FOODON_00002260
FOODON_03308503,FOODON_00002260
FOODON_03309480,FOODON_00002260
FOODON_03302446,FOODON_00002022
FOODON_03302592,FOODON_00002022
FOODON_03304322,FOODON_00002022
FOODON_03306204,FOODON_00002022
FOODON_03306207,FOODON_00002022
FOODON_03306209,FOODON_00002022
FOODON_03306254,FOODON_00002022
FOODON_03306256,FOODON_00002022
FOODON_03306260,FOODON_00002022
FOODON_03306262,FOODON_00002022
FOODON_03311240,FOODON_00002022
FOODON_03311258,FOODON_00002022
FOODON_03311681,FOODON_00002022
FOODON_03315519,FOODON_00002022
FOODON_03315622,FOODON_00002022
FOODON_03316333,FOODON_00002022
