,nloc,ccn_avg,ccn_std,num_functions,changes,authors,main_author_ratio,age_days,last_mod_days,lines_added,lines_deleted,churn_rate,entropy,comment_density,changes_per_kloc,defective
count,31624.0,31624.0,31624.0,31624.0,31624.0,31624.0,31624.0,31624.0,31624.0,31624.0,31624.0,31624.0,31624.0,31624.0,31624.0,31624.0
mean,236.6091576018214,1.818901734321188,0.982451753441522,9.47185681760688,133.75252972426006,25.05407285605869,0.39469443705895624,2528.678851505186,670.6748039463698,8364.083955223881,2802.6651909941816,54.09249534883234,4.633103123557065,0.19348913390282207,104.14646172283699,0.7319757146471034
std,1386.4130351993356,2.7852811779458415,2.6267223250244993,39.61117941915746,251.08231098933285,29.907865104967986,0.29250459754736835,1911.369799357309,1089.9954245504994,91150.64924161442,37063.17273313884,122.1969686280371,1.8291720946097967,0.20101177539975112,164.2268222386821,0.44293732260476787
min,0.0,0.0,0.0,0.0,1.0,1.0,0.0612244897959183,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0486334014200953,0.0
25%,18.0,1.0,0.0,1.0,5.0,3.0,0.1692307692307692,779.75,79.0,146.0,8.0,3.4285714285714284,3.2478532261057413,0.04375185361167675,4.784688995215311,0.0
50%,46.0,1.0357142857142858,0.0,3.0,34.0,13.0,0.2777777777777778,2087.0,246.0,709.0,113.0,17.56483208955224,4.484167008687283,0.1176470588235294,30.4818092428712,1.0
75%,131.0,2.2,1.0897247358851685,8.0,160.0,37.0,0.5,3939.0,760.0,3054.0,882.0,74.33333333333333,5.858450320511704,0.2903225806451613,138.6394380034895,1.0
max,133024.0,140.0,145.214496521525,4026.0,5102.0,321.0,1.0,7702.0,7409.0,13111800.0,5777949.0,7898.0,9.31154225248515,1.0,2075.1494449188726,1.0
